record_id,item,framing_arm,proof_variant,segment,n_shown,n_best,n_worst,bw_score
39.0,13,2,3,3,4,2,0,2
39.0,4,2,1,3,4,1,2,-1
39.0,14,2,0,3,4,0,2,-2
39.0,10,2,2,3,2,1,0,1
39.0,15,2,1,3,4,2,0,2
39.0,5,2,2,3,3,1,1,0
39.0,6,2,2,3,3,1,0,1
39.0,16,2,1,3,3,0,0,0
39.0,17,2,0,3,3,0,1,-1
39.0,7,2,0,3,3,0,0,0
39.0,1,2,1,3,3,1,1,0
44.0,13,1,2,13,3,0,3,-3
44.0,14,1,0,13,3,0,0,0
44.0,17,1,0,13,3,2,1,1
44.0,2,1,2,13,4,0,1,-1
44.0,3,1,3,13,4,3,0,3
44.0,15,1,2,13,3,0,0,0
44.0,1,1,1,13,3,0,3,-3
44.0,4,1,1,13,4,1,0,1
44.0,16,1,2,13,2,0,0,0
44.0,5,1,1,13,4,2,0,2
44.0,6,1,1,13,4,0,2,-2
44.0,7,1,0,13,4,0,1,-1
44.0,8,1,0,13,4,0,2,-2
44.0,9,1,0,13,4,3,0,3
44.0,10,1,1,13,3,1,0,1
44.0,11,1,2,13,2,1,1,0
44.0,12,1,2,13,2,1,0,1
46.0,6,2,3,11,4,2,0,2
46.0,5,2,2,11,3,0,1,-1
46.0,2,2,1,11,3,0,1,-1
46.0,13,2,2,11,4,0,2,-2
46.0,7,2,0,11,4,0,1,-1
46.0,3,2,1,11,2,0,1,-1
46.0,14,2,0,11,4,0,1,-1
46.0,4,2,1,11,2,0,1,-1
46.0,15,2,2,11,4,4,0,4
46.0,8,2,0,11,4,0,2,-2
46.0,16,2,2,11,3,1,0,1
46.0,9,2,0,11,4,1,0,1
46.0,10,2,2,11,3,2,0,2
46.0,17,2,0,11,3,1,1,0
46.0,1,2,2,11,3,0,2,-2
46.0,11,2,1,11,3,2,0,2
46.0,12,2,2,11,3,1,1,0
47.0,6,2,1,12,3,0,2,-2
47.0,7,2,0,12,4,2,1,1
47.0,16,2,2,12,3,0,0,0
47.0,1,2,3,12,4,0,1,-1
47.0,17,2,0,12,3,1,0,1
47.0,2,2,1,12,4,2,2,0
47.0,8,2,0,12,4,0,0,0
47.0,9,2,0,12,4,1,1,0
47.0,3,2,3,12,3,0,2,-2
47.0,10,2,2,12,4,3,1,2
47.0,4,2,2,12,2,1,0,1
47.0,11,2,2,12,4,1,0,1
47.0,5,2,2,12,2,0,2,-2
47.0,12,2,2,12,4,0,2,-2
47.0,13,2,3,12,3,0,0,0
47.0,14,2,0,12,3,1,0,1
47.0,15,2,2,12,2,2,0,2
49.0,3,1,1,16,3,2,1,1
49.0,9,1,0,16,4,0,0,0
49.0,7,1,0,16,3,1,0,1
49.0,4,1,3,16,3,3,0,3
49.0,5,1,1,16,3,0,2,-2
49.0,10,1,2,16,4,1,1,0
